Update Time Step,Loss
40252,1.1031045198440552
40472,1.0137188732624054
40651,0.9152457922697067
40930,0.8578470945358276
41221,0.7656033366918564
41485,0.7158386588096619
41717,0.6251917213201523
41935,0.5772310376167298
42175,0.49418082386255263
42441,0.46027827709913255
42653,0.4301645830273628
42831,0.40314123034477234
43101,0.3534547448158264
43338,0.3363059744238853
43635,0.3487843587994576
43847,0.3403852269053459
44089,0.33668764159083364
44332,0.32545017674565313
44516,0.3325160101056099
